iter	Logloss
0	0.6567969664
1	0.6228370661
2	0.5913873858
3	0.5622798297
4	0.5340090272
5	0.5075414271
6	0.4827483577
7	0.4595273077
8	0.4389733562
9	0.4191661334
10	0.400842829
11	0.3840032794
12	0.3679927459
13	0.3523633143
14	0.3379633034
15	0.3245290656
16	0.3121792014
17	0.3002142874
18	0.2895330383
19	0.279571273
20	0.2706523076
21	0.2620914977
22	0.2542057116
23	0.2467707875
24	0.2395745792
25	0.2331950848
26	0.2270121185
27	0.2212165176
28	0.2159909318
29	0.2112184802
30	0.2062850561
31	0.2019894218
32	0.1976694288
33	0.19370972
34	0.1899756265
35	0.1864117576
36	0.1832026053
37	0.1800410447
38	0.1771813483
39	0.1743326031
40	0.171644861
41	0.1691485091
42	0.1668503125
43	0.1646936423
44	0.1626073975
45	0.1607261142
46	0.1589593477
47	0.1572033686
48	0.1555110703
49	0.1538793617
50	0.1523737455
51	0.1509834854
52	0.1496164173
53	0.1484290307
54	0.1473724445
55	0.1463196144
56	0.145339267
57	0.1443143267
58	0.1433420033
59	0.1424573407
60	0.1416020723
61	0.1407286475
62	0.1399522994
63	0.1392534388
64	0.1386056906
65	0.1378725742
66	0.1371866196
67	0.1365339792
68	0.1359434536
69	0.1353957502
70	0.1348274443
71	0.1343108137
72	0.1338390114
73	0.1333619074
74	0.1329310033
75	0.1324920545
76	0.1320668
77	0.1316689745
78	0.131353539
79	0.1309956497
80	0.1306313226
81	0.1303018348
82	0.1299606895
83	0.1296547313
84	0.1293838478
85	0.1291102826
86	0.1288025437
87	0.1285186824
88	0.1282696295
89	0.1280121842
90	0.1277897418
91	0.1275850055
92	0.1273725624
93	0.1271790025
94	0.1270028519
95	0.1268013089
96	0.1266237254
97	0.1264346176
98	0.1262700937
99	0.1260880888
100	0.1258919395
101	0.1257273235
102	0.1255564848
103	0.1254142932
104	0.1252532798
105	0.1251016824
106	0.1249657545
107	0.124827974
108	0.124703857
109	0.1245654932
110	0.1244641792
111	0.1243366949
112	0.1242426988
113	0.1241238732
114	0.1240211366
115	0.1239364439
116	0.1238142203
117	0.1236948829
118	0.1235849206
119	0.1235040147
120	0.1234047068
121	0.1233112019
122	0.1232092023
123	0.1231112555
124	0.1230140866
125	0.122931011
126	0.12283375
127	0.1227464168
128	0.1226736885
129	0.1226039897
130	0.1225337383
131	0.1224549306
132	0.1223804829
133	0.122312739
134	0.1222613195
135	0.1221829007
136	0.1221199876
137	0.1220491732
138	0.121986475
139	0.1219154048
140	0.1218505062
141	0.121795484
142	0.1217516178
143	0.1216818781
144	0.1216256893
145	0.1215720079
146	0.1215124723
147	0.1214529775
148	0.1214098892
149	0.1213526768
150	0.1212947992
151	0.1212454676
152	0.1211751343
153	0.1211190887
154	0.1210586831
155	0.1210066291
156	0.1209597129
157	0.1209189274
158	0.1208699642
159	0.1208200083
160	0.1207711885
161	0.1207244054
162	0.1206759028
163	0.1206313816
164	0.1205787851
165	0.1205529014
166	0.1204958937
167	0.1204362864
168	0.1203962992
169	0.1203501302
170	0.1203060081
171	0.1202527157
172	0.1202131173
173	0.1201734474
174	0.1201269918
175	0.1200836475
176	0.1200464851
177	0.1199955774
178	0.1199600525
179	0.1199194409
180	0.1198685946
181	0.1198219036
182	0.119785345
183	0.1197542722
184	0.1197051556
185	0.1196752598
186	0.1196369613
187	0.1195872204
188	0.1195551344
189	0.1195264054
190	0.1194916993
191	0.1194580883
192	0.119421673
193	0.119379864
194	0.1193426708
195	0.1193001249
196	0.1192756229
197	0.1192459932
198	0.1192126688
199	0.1191883919
200	0.119160318
201	0.119121129
202	0.1190946312
203	0.1190678059
204	0.1190347271
205	0.1190068067
206	0.1189786611
207	0.1189431157
208	0.1189114494
209	0.1188768558
210	0.1188391407
211	0.118817658
212	0.1187926544
213	0.1187534041
214	0.1187249924
215	0.1186898666
216	0.1186587018
217	0.1186345068
218	0.1186125225
219	0.1185820434
220	0.1185462831
221	0.1185181375
222	0.1184965626
223	0.1184782935
224	0.1184508848
225	0.1184172636
226	0.1183932528
227	0.1183635618
228	0.1183356209
229	0.1183168298
230	0.1182998094
231	0.1182706915
232	0.1182473972
233	0.1182226086
234	0.1181931631
235	0.1181650482
236	0.1181460832
237	0.1181266167
238	0.1181131887
239	0.1180934253
240	0.1180698444
241	0.1180435001
242	0.1180214033
243	0.1179966351
244	0.1179657875
245	0.1179456762
246	0.117923344
247	0.1178994355
248	0.1178704712
249	0.1178572581
250	0.1178358367
251	0.117818192
252	0.1177994112
253	0.1177822986
254	0.1177655955
255	0.1177455353
256	0.1177227221
257	0.1176874837
258	0.1176606789
259	0.1176403424
260	0.1176215616
261	0.1176063323
262	0.1175766514
263	0.1175621897
264	0.1175440128
265	0.1175197666
266	0.117495807
267	0.117478019
268	0.1174558403
269	0.1174385537
270	0.1174100192
271	0.1173864281
272	0.1173646178
273	0.1173521825
274	0.1173392253
275	0.1173234842
276	0.1173060851
277	0.1172882664
278	0.1172661491
279	0.1172508481
280	0.1172331215
281	0.1172144123
282	0.1171995719
283	0.1171809037
284	0.1171577015
285	0.1171396678
286	0.1171260453
287	0.117112515
288	0.1170986469
289	0.117084093
290	0.1170725482
291	0.1170547397
292	0.1170387121
293	0.1170191125
294	0.1169995641
295	0.1169836081
296	0.1169666593
297	0.1169533848
298	0.1169277979
299	0.1169084132
300	0.1168983832
301	0.1168877799
302	0.1168771256
303	0.1168642809
304	0.1168507506
305	0.1168337301
306	0.1168142431
307	0.1167969873
308	0.1167821981
309	0.1167645022
310	0.1167513607
311	0.1167381476
312	0.116728138
313	0.11671558
314	0.1166935445
315	0.116679789
316	0.1166697078
317	0.1166596777
318	0.116641511
319	0.1166331287
320	0.1166248999
321	0.1166027007
322	0.1165910536
323	0.1165848001
324	0.1165750362
325	0.1165614853
326	0.1165474535
327	0.1165374643
328	0.1165259707
329	0.1165196763
330	0.1165023591
331	0.1164913567
332	0.1164834759
333	0.1164647054
334	0.1164452184
335	0.1164322202
336	0.116419611
337	0.1164115972
338	0.1164014136
339	0.1163927242
340	0.1163819163
341	0.116367168
342	0.1163563089
343	0.1163413252
344	0.1163267816
345	0.1163151652
346	0.1163037022
347	0.1162921062
348	0.1162816565
349	0.1162682081
350	0.1162537156
351	0.1162392027
352	0.1162311991
353	0.1162175767
354	0.1162084882
355	0.1162011396
356	0.1161899019
357	0.116182717
358	0.1161716737
359	0.1161537424
360	0.1161408671
361	0.1161266408
362	0.1161093645
363	0.1160974512
364	0.1160876054
365	0.1160781484
366	0.1160706975
367	0.1160605958
